"Year","Month","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha","deltaC"
1971,12,0.136525022123823,4.92394422907534,0.636248873636832,20.6342895498273,3.0041,29.3351076746633,58.048506760622,37.468144811881
1972,12,0.109927836416445,5.23987268096061,0.682555997217271,20.72126322527,3.0041,29.7577197398643,60.057194695421,43.8725722122797
1973,12,0.197301570810789,5.02138415374244,0.641177205125725,20.7167491249776,3.0041,29.5807120546566,61.8930023806287,41.5903624003597
1974,12,0.0573592536848667,4.89465747336099,0.637553445249617,20.7500736629924,3.0041,29.3437438352879,64.0866705999974,38.3051949977542
1975,12,0.359368907893906,5.33862593141306,0.668747126908199,20.8137438713032,3.0041,30.1845858375183,65.865628597767,48.367139145449
1976,12,0.0843910778802376,5.49828570133758,0.71773313214185,20.9155486626402,3.0041,30.2200585739999,68.0076558612855,47.9154146528997
1977,12,0.0330880484234082,5.03442856908939,0.655951775248429,20.905747401812,3.0041,29.6333157945733,70.0016986407121,40.1883920326398
1978,12,0.0448742887682854,4.86968361761406,0.633387537678135,20.9157712035807,3.0041,29.4678166476412,72.0156977876442,36.6930735791133
1979,12,0.0463112248264504,4.74249123068628,0.61748667916943,20.9244303443902,3.0041,29.3348194790724,73.997194956213,33.4524499375581
1980,12,0.123896934309456,4.75764615136859,0.615529282480759,20.9376286380478,3.0041,29.4388010062066,76.0293134290787,32.1921006560619
1981,12,0.114522034470449,5.07588262286621,0.6646761056105,21.0168801468899,3.0041,29.8760609098371,78.4545535254483,33.4550855086186
1982,12,0.0417512516964896,4.9506618170888,0.653546485884924,21.0470137217436,3.0041,29.6970732764138,80.7634411588716,29.7288134311082
1983,12,0.0361185079474891,4.81371851569411,0.634794385874592,21.0601363387235,3.0041,29.5488677482397,82.8514466870457,26.4463066500962
1984,12,0.0306205307181395,4.63581440278198,0.61162277951693,21.0594181310462,3.0041,29.3415758440632,84.9985385912221,22.6837105070754
1985,12,0.326551136928686,4.83580593559417,0.612769869049003,21.0672208710799,3.0041,29.8464478126517,87.0869666226336,23.5990836017452
1986,12,0.113155260533133,5.24232986027207,0.68942463495024,21.1869966691756,3.0041,30.236006424931,89.7193080103542,23.8170742512753
1987,12,0.0461342033065143,4.97815607330012,0.656691698131053,21.1990310630717,3.0041,29.8841130378094,92.0444013974758,19.6555245567547
1988,12,0.0404520030347568,4.75065442402065,0.625568505750318,21.1957458134968,3.0041,29.6165207463025,94.2517936889827,16.0866866330978
1989,12,0.0374181821053408,4.66298654910608,0.614820364546136,21.2046239001034,3.0041,29.5239489958609,96.2841654394243,13.7410085789957
1990,12,0.269521014796536,5.05521419394192,0.648390900884775,21.2556386273099,3.0041,30.2328647369331,98.1685496983521,15.5035710453397
1991,12,0.103598815901829,5.45344136278765,0.720792786041179,21.3795824105271,3.0041,30.6615153752578,100.930799060027,15.5451913864424
1992,12,0.094691463812767,5.27924160839744,0.694155322520164,21.4060606490632,3.0041,30.4782490437936,103.281365391492,12.9026217985382
1993,12,0.0712429017386164,5.01845862570722,0.657663185961492,21.4102526927336,3.0041,30.161717406141,105.537697029144,9.8045728517151
1994,12,0.033143246406109,4.83204944829832,0.635295335468382,21.4184614141542,3.0041,29.923049444327,107.716164990958,7.18054314659811
1995,12,0.252201152395136,5.18604299226315,0.665962375477768,21.4699301486784,3.0041,30.5782366688144,109.654277766471,8.22356002104496
1996,12,0.122222233655639,5.53668815704698,0.726626927584027,21.5809422562316,3.0041,30.9705795745182,112.124434860767,8.15732093501409
1997,12,0.0693242770937536,5.47994506810267,0.720611947338087,21.6300707116057,3.0041,30.9040520041402,114.232962431145,6.59266332855957
1998,12,0.0635302146189769,5.46135260188463,0.718301467438792,21.6826126216611,3.0041,30.9298969056035,116.562217529682,5.21354282920239
1999,12,0.446563755478328,5.1322742255355,0.633355984012782,21.6284325125709,3.0041,30.8447264775976,118.708387957688,3.22027634541855
2000,12,0.363062217936757,5.41824299138194,0.683463070015908,21.7108931882631,3.0041,31.1797614675977,121.460752967688,2.74569967248328
2001,12,0.0538074072978857,5.23424887102605,0.68826200858627,21.7658315078183,3.0041,30.7462497947285,124.105964640557,0.155370606065297
2002,12,0.0796685276769404,5.26733113740684,0.689502004529068,21.8076271262173,3.0041,30.8482287958301,126.299985639455,-0.729466960031067
2003,12,0.0896022313630987,5.42297934093108,0.709405380255336,21.8689588819364,3.0041,31.0950458344859,128.294368600799,-1.03339141138348
2004,12,0.528768623525003,5.54056895102439,0.681197369937754,21.8746523187228,3.0041,31.62928726321,130.254727172075,-0.832811680912315
2005,12,0.197484978648798,5.50157365387173,0.708816054130875,21.9466158292118,3.0041,31.3585905158632,132.611523919422,-2.54062664332622
2006,12,0.0332748765417388,5.5326380351336,0.733243777822522,22.0368162052658,3.0041,31.3400728947636,135.683341540522,-3.83096911239611
2007,12,0.0753631352076019,5.30235138785147,0.694520116488744,22.0446939942578,3.0041,31.1210286338057,137.87658580148,-5.4356007967673
