"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
1968,1,0,0,3.62,0.373945097286823,46.4,15.3,0,1,0,1,0.0383186898410161,5.05059727233765,0.663115118510731,20.551690447628,3.0041,29.3078215283174,50.2974929069678
1968,2,0,0,1.76,0.23913262862136,21.8,18.1,0,1,0,1,0.0313953744655209,5.02049328252959,0.659357469837231,20.5492611919328,3.0041,29.2646073187651,50.3407071165202
1968,3,0,0,6.64,0.668673915805509,15.8,58.7,0,0.838848920863309,0,1,0.0196726676770063,4.95058267864787,0.650333380322895,20.5429804806946,3.0041,29.1676692073423,50.4376452279429
1968,4,0,0,7.75,0.799633140142171,50.7,74.8,0,1,0,1,0.0101033726585328,4.85259907909716,0.637185819529822,20.5330346505684,3.0041,29.0370229218539,50.5682915134313
1968,5,0,0,9.69,1.05524853098435,55.2,100.8,0,0.871898720728048,1,0.6,0.00637787119119981,4.78608814389488,0.627981237012653,20.5257158435287,3.0041,28.9502630956274,50.6550513396578
1968,6,0,0,14.81,1.86534284101841,77.4,122.4,0,1,1,0.6,0.0025096993173331,4.65402884953256,0.609766688237448,20.510092306381,3.0041,28.7804975434684,50.8248168918169
1968,7,0,0,14.79,1.86186878625496,108.5,131.7,0,1,1,0.6,0.00098928636318916,4.5258492175721,0.592024037097146,20.4937692806093,3.0041,28.6167318216418,50.9885826136435
1968,8,0,0,15.34,1.95812278497978,75.1,115.1,0,1,1,0.6,0.000371638811373904,4.3948499529693,0.573988677278196,20.4759956455954,3.0041,28.4493059146542,51.156008520631
1968,9,1.3848,0,14.04,1.7330881508587,108.2,72.5,0,1,1,0.6,0.817415254062897,4.84961325465709,0.558506526329037,20.4598203336697,3.0041,29.6894553687187,51.3006590665665
1968,10,0,0,12.66,1.50438935254434,40.8,41.5,0,1,0,1,0.233338324965563,4.6706078632563,0.592350657862837,20.500380199635,3.0041,29.0007770457197,51.9893373895656
1968,11,0,0,6.27,0.627641500329204,52.9,15.7,0,1,0,1,0.138304096033344,4.59789315659228,0.591309924898429,20.5013195808119,3.0041,28.832926758336,52.1571876769493
1968,12,0,0,2.27,0.272541642471631,47.1,3,0,1,0,1,0.110204399617467,4.56667170786973,0.589563568108956,20.5002866981501,3.0041,28.7708263737462,52.2192880615391
1969,1,0,0,5.65,0.561906433124297,75.9,8.3,0,1,1,0.6,0.0832113372271352,4.52834283094,0.586715788886885,20.4981428748909,3.0041,28.700512831945,52.2896016033403
1969,2,0,0,0.52,0.168857822461814,57.4,12.6,0,1,1,0.6,0.0764742965881207,4.51688765264072,0.585724291660242,20.4973452362524,3.0041,28.6805314771415,52.3095829581437
1969,3,0,0,3.32,0.34977587467358,55.7,39.3,0,1,1,0.6,0.0642040796563162,4.49325123777613,0.583537173735782,20.4955004701196,3.0041,28.6405929612878,52.3495214739974
1969,4,0,0,7.67,0.789808669911574,34.7,75,0,0.828663782975324,1,0.6,0.0462852730864017,4.44935551909941,0.579054839158978,20.4914654696131,3.0041,28.5702611009579,52.4198533343274
1969,5,0,0,11.8,1.36786961879331,75.2,116.1,0,1,1,0.6,0.0233568201554285,4.3589936401489,0.568692746841575,20.4812927118184,3.0041,28.4364359189643,52.553678516321
1969,6,0,0,13.24,1.59913215330014,29.8,114,0,0.2,1,0.6,0.0199050966077332,4.33813190051993,0.56607644970193,20.478680931111,3.0041,28.4068943779406,52.5832200573447
1969,7,0,0,17.13,2.28074874940474,40.4,135.8,0,0.2,1,0.6,0.0158457438102414,4.30855065030554,0.562303324263989,20.4748405326624,3.0041,28.3656402510422,52.6244741842431
1969,8,2.029,0,16.48,2.16205785610243,60.6,124.6,0,0.403833525057263,1,0.6,1.20768306934903,5.08404825358388,0.555030247094202,20.4671812842139,3.0041,30.318042854241,52.7010715810443
1969,9,0,0,13.9,1.70938339118928,12.2,73.8,0,0.838848920863309,0,1,0.365596514805925,4.90502399140629,0.614209883544338,20.5372090190923,3.0041,29.4261394088489,53.5929750264364
1969,10,0,0,12.9,1.54334154250186,3.4,37.6,0,0.838848920863309,0,1,0.124296724986995,4.74881077970534,0.616071325784824,20.5446838809903,3.0041,29.0379627114674,53.9811517238178
1969,11,0,0,5.4,0.536486399538762,65.3,14.9,0,1,1,0.6,0.0950524125721193,4.71074904616682,0.613377616166866,20.5431938594379,3.0041,28.9664729343437,54.0526415009416
1969,12,0,0,2.92,0.319005296954519,49.4,4.8,0,1,1,0.6,0.0810386176583429,4.68826158274906,0.611460015820669,20.5419307750466,3.0041,28.9267909912747,54.0923234440106
1970,1,0,0,3.58,0.370668489017569,56.2,5.3,0,1,1,0.6,0.0673290341719511,4.66226705231002,0.609012099985726,20.5401710013318,3.0041,28.8828791877995,54.1362352474857
1970,2,0,0,2.69,0.302064399135136,56.9,19.1,0,1,1,0.6,0.0578908509953197,4.6411902640372,0.606865446017481,20.5385385819812,3.0041,28.8485851430312,54.170529292254
1970,3,0,0,2.78,0.308628118119098,44.7,41.1,0,1,1,0.6,0.049612623090102,4.61975389406533,0.604559205596784,20.5367123145274,3.0041,28.8147380372796,54.2043763980056
1970,4,0.262,0,6.69,0.674320880610798,71.5,80.1,0,1,1,0.6,0.190036158852734,4.68063852299194,0.599254014397355,20.5322590589081,3.0041,29.0062877551501,54.2748266801352
1970,5,0.262,0,13.13,1.58100542782568,6.8,114.8,0,0.2,1,0.6,0.316868970135876,4.76586779260029,0.598738790616238,20.5324652452026,3.0041,29.218040798555,54.3250736367303
1970,6,0.262,0,16.02,2.07908685444969,32.7,134.7,0,0.2,1,0.6,0.412009660159473,4.84361139438424,0.600214859671113,20.5352408962823,3.0041,29.3951768104972,54.4099376247881
1970,7,0.262,0,15.5,1.98639581630044,42.2,152.3,0,0.2,1,0.6,0.492407145547679,4.92221028771228,0.603232115641603,20.5398034570176,3.0041,29.5617530059191,54.5053614293662
1970,8,0.262,0,15.71,2.02368310974974,63.4,110.6,0,0.903854979067017,1,0.6,0.35192738330248,4.89637375871305,0.613538714538008,20.5558467399433,3.0041,29.4217865964968,54.9073278387885
1970,9,1.3098,0,14.7,1.8462605373438,39.3,77,0,0.945210136917447,1,0.6,0.920061442376145,5.30666978911639,0.615771265434408,20.5629325944017,3.0041,30.4095350913287,55.2293793439566
1970,10,0,0,10.82,1.21851793862295,18.1,50.5,0,0.895395969506701,1,0.6,0.533208445524412,5.22052848644615,0.641093702013549,20.5957994226407,3.0041,29.9947300566248,55.6441843786605
1970,11,0,0,7.98,0.828205021630839,130.5,24.6,0,1,1,0.6,0.352415161497348,5.15607465417506,0.649269821916533,20.6086372695443,3.0041,29.7704969071333,55.8684175281521
