"","year","month","modern","Tmp","Rain","Evap","C_inp","FYM","PC","DPM_RPM"
"162",2033,6,100,16.29,56.5,4.44,0,0,1,1.44
"163",2033,7,100,18.28,66.59,4.65,0,0,1,1.44
"164",2033,8,100,17.18,76.22,3.49,2.08,0,1,1.44
"165",2033,9,100,14.43,45.91,2.34,0,0,0,1.44
"166",2033,10,100,11.08,58.98,1.25,0,0,1,1.44
"167",2033,11,100,6.75,54.73,0.69,0,0,1,1.44
"168",2033,12,100,3.83,67.75,0.5,0,0,1,1.44
"169",2034,1,100,2.88,54.82,0.57,0,0,1,1.44
"170",2034,2,100,3.05,46.74,0.83,0,0,1,1.44
"171",2034,3,100,6,48.39,1.73,0,0,1,1.44
"172",2034,4,100,9.8,36.47,3.03,0,0,1,1.44
"173",2034,5,100,13.16,62.3,3.82,0,0,1,1.44
"174",2034,6,100,16.29,56.5,4.44,0,0,1,1.44
"175",2034,7,100,18.28,66.59,4.65,2.24,0,1,1.44
"176",2034,8,100,17.18,76.22,3.49,0,0,1,1.44
"177",2034,9,100,14.43,45.91,2.34,0,0,1,1.44
"178",2034,10,100,11.08,58.98,1.25,0,0,1,1.44
"179",2034,11,100,6.75,54.73,0.69,0,0,1,1.44
"180",2034,12,100,3.83,67.75,0.5,0,0,1,1.44
"181",2035,1,100,2.88,54.82,0.57,0,0,1,1.44
"182",2035,2,100,3.05,46.74,0.83,0,0,1,1.44
"183",2035,3,100,6,48.39,1.73,1.12,0,1,1.44
"184",2035,4,100,9.8,36.47,3.03,0,0,1,1.44
"185",2035,5,100,13.16,62.3,3.82,0,0,1,1.44
"186",2035,6,100,16.29,86.5,4.44,0,0,1,1.44
"187",2035,7,100,18.28,96.59,4.65,0,2.784,1,1.44
"188",2035,8,100,17.18,106.22,3.49,0,0,1,1.44
"189",2035,9,100,14.43,45.91,2.34,0,0,1,1.44
"190",2035,10,100,11.08,58.98,1.25,2.3,0,1,1.44
"191",2035,11,100,6.75,54.73,0.69,0,0,1,1.44
