"Year","Month","Pl_inp_t_C_ha","OA_inp_t_C_ha","TEMP_C","RM_Temp","RAIN_mm","PEVAP_mm","SMD_mm","RM_Moist","PC","RM_PC","DPM_t_C_ha","RPM_t_C_ha","Bio_t_C_ha","Hum_t_C_ha","IOM_t_C_ha","SOC_t_C_ha","CO2_t_C_ha"
2037,1,0,0,3.38,0.354534878846153,59.58,0.57,0,1,1,0.6,0.0583183021760156,5.80272764550881,0.830813913137861,42.5325174836174,3.0041,52.2284773444401,73.2194349735647
2037,2,0,0,4.29,0.431296337046394,52.92,0.83,0,1,1,0.6,0.0470056499668215,5.76530838925536,0.826585526464669,42.5229965203815,3.0041,52.1659960860684,73.2819162319364
2037,3,0,0,6.83,0.690260651949626,53.3,1.73,0,1,1,0.6,0.0332860197188271,5.70592287300892,0.819509862429571,42.5072016233235,3.0041,52.0700203784808,73.3778919395239
2037,4,0,0,9.91,1.08624679760332,45.03,3.03,0,1,1,0.6,0.0193368786162361,5.61370558695474,0.807923487544064,42.481326408017,3.0041,51.9263923611321,73.5215199568727
2037,5,0,0,13.7,1.67570940522576,60.12,3.82,0,1,1,0.6,0.00836586201347038,5.47436010369556,0.789711016617096,42.4398428331225,3.0041,51.7163798154486,73.7315325025561
2037,6,0,0,16.9,2.23856432581044,59.57,4.44,0,1,1,0.6,0.00273157185960009,5.29359144677646,0.765650451749369,42.3827151452432,3.0041,51.4487886156287,73.9991237023761
2037,7,2.24,2.784,18.5,2.53584286492207,73.2,4.65,0,1,1,0.6,2.68689592102196,7.37820994363688,0.739297421838833,42.3722728241097,3.0041,56.1807761106074,74.2911362073974
2037,8,0,0,18.4,2.51701829650327,75.96,3.49,0,1,1,0.6,0.76328594513635,7.10483671570258,0.905563446012263,42.5301111270475,3.0041,54.3078972338987,76.1640150841061
2037,9,0,0,15.3,1.95107327120539,55.74,2.34,0,1,1,0.6,0.287751163128426,6.89991905664065,0.927242771975634,42.5389505044803,3.0041,53.657963496225,76.8139488217797
2037,10,0,0,11.5,1.321422018351,65.84,1.25,0,1,1,0.6,0.148618865712439,6.76450000863298,0.922974547015757,42.5242113930267,3.0041,53.3644048143878,77.1075075036169
2037,11,0,0,7.13,0.725049354203736,58.83,0.69,0,1,1,0.6,0.103426416013589,6.6913296751887,0.917453609804704,42.5125259411153,3.0041,53.2288356421223,77.2430766758825
2037,12,0,0,4.44,0.444772680629876,73.82,0.5,0,1,1,0.6,0.0828038090332955,6.64683645095221,0.913369245520703,42.5045194264421,3.0041,53.1516289319484,77.3202833860564
2038,1,0,0,3.38,0.354534878846153,59.58,0.57,0,1,1,0.6,0.0693528071344578,6.61158224504304,0.90983698741907,42.4977776546534,3.0041,53.09264969425,77.3792626237548
2038,2,0,0,4.29,0.431296337046394,52.92,0.83,0,1,1,0.6,0.0558996687959054,6.56894703874321,0.905298105288866,42.4892181462659,3.0041,53.0234629590939,77.4484493589109
2038,3,1.12,0,6.83,0.690260651949626,53.3,1.73,0,1,1,0.6,0.700567730575016,6.96030004199871,0.897653016274559,42.4748590926504,3.0041,54.0374798814987,77.5544324365061
2038,4,0,0,9.91,1.08624679760332,45.03,3.03,0,1,1,0.6,0.406981467986058,6.84780991651311,0.912162182472993,42.4828829320381,3.0041,53.6539364990102,77.9379758189945
2038,5,0,0,13.7,1.67570940522576,60.12,3.82,0,1,1,0.6,0.176075512019411,6.6778310376241,0.912761515837143,42.4700631904766,3.0041,53.2408312559572,78.3510810620475
2038,6,0,0,16.9,2.23856432581044,89.57,4.44,0,1,1,0.6,0.0574911363613782,6.45732260833954,0.895334979248358,42.4309420276143,3.0041,52.8451907515636,78.7467215664412
2038,7,0,0,18.5,2.53584286492207,103.2,4.65,0,1,1,0.6,0.0161789231208072,6.216314033607,0.86746640235931,42.3751396942091,3.0041,52.4791990532962,79.1127132647085
2038,8,0,0,18.4,2.51701829650327,105.96,3.49,0,1,1,0.6,0.00459606363199089,5.98599071044296,0.838128559020791,42.3153412948679,3.0041,52.1481566279636,79.4437556900411
2038,9,0,0,15.3,1.95107327120539,55.74,2.34,0,1,1,0.6,0.00173266999653896,5.81334280133065,0.815439966597675,42.2675789124466,3.0041,51.9021943503714,79.6897179676333
2038,10,2.3,0,11.5,1.321422018351,65.84,1.25,0,1,1,0.6,1.35827194547454,6.64187204446533,0.80023809852348,42.2347627387814,3.0041,54.0392448272448,79.85266749076
2038,11,0,0,7.13,0.725049354203736,58.83,0.69,0,1,1,0.6,0.945244727974527,6.57002815481088,0.832258812196816,42.2639512297596,3.0041,53.6155829247418,80.276329393263
